Order_ID,Order_Date,City,Category,Product,Quantity,Unit_Price,Discount,Gross_Sales,Net_Sales
ORD0001,2025-05-02,Jabalpur,Clothing,Shoes,5,4172,0.1,20860,18774.0
ORD0002,2025-11-05,Bhopal,Clothing,Jacket,3,3319,0.05,9957,9459.15
ORD0003,2025-01-22,Gwalior,Home & Kitchen,Water Bottle,2,4855,0.05,9710,9224.5
ORD0004,2025-09-28,Mandsaur,Home & Kitchen,Mixer,1,3047,0.15,3047,2589.95
ORD0005,2025-11-03,Gwalior,Furniture,Bookshelf,3,2467,0.0,7401,7401.0
ORD0006,2025-09-22,Bhopal,Electronics,Headphones,2,12127,0.05,24254,23041.3
ORD0007,2025-02-04,Mandsaur,Electronics,Smartphone,4,56887,0.15,227548,193415.8
ORD0008,2025-04-16,Ujjain,Electronics,Monitor,2,5443,0.05,10886,10341.7
ORD0009,2025-09-27,Mandsaur,Furniture,Office Chair,2,6875,0.05,13750,13062.5
ORD0010,2025-10-07,Bhopal,Clothing,Shoes,1,737,0.0,737,737.0
ORD0011,2025-12-11,Indore,Electronics,Monitor,4,10071,0.0,40284,40284.0
ORD0012,2025-10-16,Jabalpur,Home & Kitchen,Mixer,4,6094,0.1,24376,21938.4
ORD0013,2025-02-02,Mandsaur,Electronics,Smartphone,2,40452,0.15,80904,68768.4
ORD0014,2025-04-11,Mandsaur,Home & Kitchen,Mixer,3,5356,0.1,16068,14461.2
ORD0015,2025-07-26,Bhopal,Clothing,T-Shirt,5,4893,0.1,24465,22018.5
ORD0016,2025-02-21,Gwalior,Furniture,Sofa,5,17134,0.0,85670,85670.0
ORD0017,2025-02-05,Gwalior,Home & Kitchen,Water Bottle,5,3542,0.0,17710,17710.0
ORD0018,2025-03-03,Indore,Home & Kitchen,Bedsheet,3,3029,0.0,9087,9087.0
ORD0019,2025-11-27,Bhopal,Electronics,Smartphone,4,31223,0.05,124892,118647.4
ORD0020,2025-04-26,Gwalior,Clothing,Shoes,1,1706,0.0,1706,1706.0
ORD0021,2025-06-01,Jabalpur,Electronics,Headphones,3,30820,0.15,92460,78591.0
ORD0022,2025-02-21,Ujjain,Furniture,Sofa,1,22816,0.05,22816,21675.2
ORD0023,2025-03-22,Jabalpur,Furniture,Bookshelf,2,24864,0.15,49728,42268.8
ORD0024,2025-05-06,Bhopal,Electronics,Smartphone,2,48823,0.0,97646,97646.0
ORD0025,2025-05-03,Indore,Electronics,Monitor,2,40059,0.15,80118,68100.3
ORD0026,2025-08-28,Indore,Clothing,Jeans,5,597,0.1,2985,2686.5
ORD0027,2025-12-12,Jabalpur,Electronics,Monitor,3,45857,0.15,137571,116935.35
ORD0028,2025-05-08,Bhopal,Clothing,Jacket,4,2243,0.0,8972,8972.0
ORD0029,2025-09-20,Ujjain,Home & Kitchen,Mixer,3,3669,0.1,11007,9906.3
ORD0030,2025-05-20,Gwalior,Home & Kitchen,Cookware Set,1,5723,0.05,5723,5436.85
ORD0031,2025-07-27,Jabalpur,Electronics,Monitor,3,8658,0.15,25974,22077.9
ORD0032,2025-04-14,Ujjain,Home & Kitchen,Water Bottle,1,5839,0.05,5839,5547.05
ORD0033,2025-12-04,Bhopal,Furniture,Bookshelf,1,3400,0.05,3400,3230.0
ORD0034,2025-05-15,Jabalpur,Furniture,Bookshelf,5,6899,0.15,34495,29320.75
ORD0035,2025-08-26,Mandsaur,Electronics,Monitor,1,6055,0.05,6055,5752.25
ORD0036,2025-10-04,Mandsaur,Furniture,Table,5,11877,0.05,59385,56415.75
ORD0037,2025-02-04,Indore,Electronics,Monitor,1,30624,0.15,30624,26030.4
ORD0038,2025-04-09,Ujjain,Home & Kitchen,Mixer,4,3744,0.05,14976,14227.2
ORD0039,2025-07-07,Indore,Electronics,Laptop,5,32716,0.1,163580,147222.0
ORD0040,2025-05-08,Bhopal,Home & Kitchen,Bedsheet,5,3627,0.1,18135,16321.5
ORD0041,2025-10-15,Mandsaur,Electronics,Smartphone,2,39710,0.05,79420,75449.0
ORD0042,2025-10-26,Mandsaur,Clothing,Jeans,3,4457,0.15,13371,11365.35
ORD0043,2025-01-13,Ujjain,Home & Kitchen,Bedsheet,5,6286,0.05,31430,29858.5
ORD0044,2025-05-22,Ujjain,Furniture,Bookshelf,1,5980,0.15,5980,5083.0
ORD0045,2025-02-20,Indore,Clothing,Jacket,4,3174,0.05,12696,12061.2
ORD0046,2025-09-28,Mandsaur,Furniture,Bookshelf,5,24041,0.05,120205,114194.75
ORD0047,2025-04-18,Gwalior,Clothing,Shoes,5,3524,0.15,17620,14977.0
